EmployeeList																	
Employee List 																	
																	
			FIRST	LAST 						BIRTH		PAY					
ID	EMP NO	M/M	NAME	NAME	ADDRESS	CITY	ST	ZIP	SSN	 DATE	AGE	RATE	WEEKLY PAY	DEPT	VISION	DENTAL	HEALTH
1	1001	Mr.	Clem	Jones	435 Ionosphere St.	North Brunswick	NJ	08902	980-37-3510	7/16/1942	69	$10.00	$400.00	ACCT	TRUE	TRUE	TRUE
2	1002	Ms.	Clarissa	Stanley	1017 Arthropod Ln.	Belisle	MA	02689	992-20-8627	9/11/1963	47	$10.25	$410.00	ACCT	TRUE	TRUE	TRUE
3	1003	Ms.	Monica	Nitron	1849 Turtle Hwy.	Bozeman	MT	59757	954-05-3642	2/5/1928	83	$6.35	$254.00	PROD	TRUE	TRUE	TRUE
4	1004	Miss	Pixie	Davis	73 Elm Rd.	Hillsville	VA	24348	992-11-1431	10/3/1950	60	$7.25	$290.00	PROD	TRUE	TRUE	TRUE
5	1005	Ms.	Sandy	Smothers	1444 Eastern St.	New Brunswick	NJ	08929	952-25-3819	8/17/1962	48	$10.25	$410.00	MKTG	TRUE	TRUE	TRUE
6	1006	Dr.	Marilyn	Zale	514 Manganese Ave.	Belisle	MA	02611	979-25-7626	7/1/1955	56	$11.75	$470.00	MKTG	TRUE	TRUE	TRUE
7	1007	Mr.	Merlin	Target	1037 Prosimian Hwy.	Tampa	FL	33696	961-68-8577	12/27/1939	71	$12.00	$480.00	MKTG	FALSE	FALSE	TRUE
8	1008	Ms.	Harry	Mauger	1881 Lute Rd.	Atlanta	GA	30380	916-07-1509	10/25/1912	98	$6.25	$250.00	PROD	TRUE	TRUE	FALSE
9	1009	Ms.	Rosie	Zukus	837 Prehensile Ct.	Charlotte	NC	28293	916-61-2330	7/15/1940	71	$6.25	$250.00	PROD	TRUE	TRUE	TRUE
9	1009	Ms.	Rosie	Zukus	837 Prehensile Ct.	Charlotte	NC	28293	916-61-2330	7/15/1940	71	$6.25	$250.00	PROD	TRUE	TRUE	TRUE
10	1010	Dr.	Teresa	Belmont	1401 Bacillus Rd.	Redlands	CA	92381	906-76-2758	3/21/1941	70	$7.50	$300.00	PROD	TRUE	TRUE	TRUE
11	1011	Mr.	Wally	Ozello	1044 Pro Forma St.	Bozeman	MT	59725	991-91-4232	4/15/1952	59	$8.50	$340.00	PROD	TRUE	FALSE	TRUE
12	1012	Mr.	Miles	Rinack	1613 Main Ln.	Irvine	CA	92781	964-27-4234	1/13/1943	68	$13.25	$530.00	MKTG	TRUE	TRUE	FALSE
13	1013	Dr.	Charles	Hern	258 Southern Hwy.	Bozeman	MT	59764	974-70-2199	12/27/1950	60	$7.35	$294.00	PROD	TRUE	TRUE	TRUE
14	1014	Miss	Kenneth	Gortz	1316 Central Ln.	Belisle	MA	02653	902-02-4332	3/6/1958	53	$7.35	$294.00	PROD	TRUE	TRUE	TRUE
15	1015	Ms.	David	Fuss	256 Hyperbolic Hwy.	Bozeman	MT	59711	986-00-8783	6/19/1916	95	$8.00	$320.00	ACCT	TRUE	TRUE	TRUE
16	1016	Dr.	John	O'Grady	518 Armadillo St.	Bozeman	MT	59712	959-04-2501	8/21/1940	70	$8.50	$340.00	ACCT	TRUE	FALSE	TRUE
17	1017	Mr.	Merlin	Odyer	891 Tarsir St.	Charlotte	NC	28232	913-48-4047	4/8/1943	68	$10.00	$400.00	PROD	TRUE	TRUE	TRUE
18	1018	Mr.	Deborah	McClaw	91 Hyperbolic Pkwy.	Belisle	MA	02648	955-15-8365	11/7/1913	97	$10.25	$410.00	PERS	TRUE	TRUE	TRUE
19	1019	Mr.	David	O'Harra	601 Hyperbolic Ln.	Redlands	CA	92359	960-80-5377	5/4/1949	62	$10.25	$410.00	PERS	TRUE	TRUE	TRUE
20	1020	Mr.	Bryan	Sansbury	483 Northern Pkwy.	New York	NY	10016	992-67-3811	3/12/1952	59	$10.25	$410.00	MKTG	TRUE	FALSE	TRUE
21	1021	Mr.	Arron	Santille	447 Propylene Ave.	Pittsburgh	PA	15247	907-82-1783	12/1/1935	75	$6.25	$250.00	PROD	TRUE	TRUE	TRUE
22	1022	Mr.	Leon	Sapp	693 Bacillus Ln.	New York	NY	10045	947-67-3767	9/24/1917	93	$6.25	$250.00	PROD	TRUE	TRUE	TRUE
